               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031724,            0.013494,          0.00040131,              0.8137,             0.84961,             0.89877,             0.42823,            0.025542,            0.011878,          8.4209e-05,           0.0057925,           0.0057925,           0.0057925
                  36,            0.032301,            0.013531,          0.00042123,             0.81718,             0.84412,             0.89805,               0.429,            0.025464,            0.011878,           7.799e-05,           0.0056688,           0.0056688,           0.0056688
                  37,            0.032238,            0.013586,          0.00044722,             0.81181,             0.84601,             0.89824,             0.43326,            0.025263,            0.011911,          7.0512e-05,            0.005545,            0.005545,            0.005545
                  38,            0.031709,            0.013616,          0.00037414,             0.81905,             0.84265,             0.90288,             0.43338,            0.025314,            0.011713,          6.5111e-05,           0.0054212,           0.0054212,           0.0054212
                  39,            0.031731,            0.013599,          0.00038889,             0.80602,             0.85919,             0.90258,             0.43395,            0.025368,            0.011861,          5.5418e-05,           0.0052975,           0.0052975,           0.0052975
                  40,            0.031451,            0.013666,            0.000377,             0.82053,             0.84764,             0.90324,             0.43381,            0.025076,            0.011883,           5.259e-05,           0.0051737,           0.0051737,           0.0051737
                  41,            0.030719,            0.013525,          0.00034165,             0.81952,             0.85305,             0.90351,             0.43811,             0.02502,            0.011674,          5.1197e-05,             0.00505,             0.00505,             0.00505
                  42,            0.031722,            0.013598,          0.00034408,              0.8233,             0.84895,             0.89981,             0.43567,            0.025255,            0.011778,          4.3686e-05,           0.0049263,           0.0049263,           0.0049263
                  43,            0.031565,            0.013332,          0.00040201,             0.82185,             0.85741,             0.90916,             0.44338,            0.024771,            0.011634,          6.0755e-05,           0.0048025,           0.0048025,           0.0048025
                  44,            0.030803,            0.013268,          0.00039654,               0.829,             0.86285,             0.91254,             0.44793,            0.024636,            0.011517,          4.7765e-05,           0.0046788,           0.0046788,           0.0046788
                  45,            0.030882,            0.013509,          0.00033389,             0.82459,             0.85962,              0.9086,             0.44196,            0.024768,            0.011695,          4.5276e-05,            0.004555,            0.004555,            0.004555
                  46,            0.030186,            0.013243,          0.00032229,              0.8223,             0.85825,             0.90984,              0.4413,             0.02496,            0.011587,          5.0423e-05,           0.0044313,           0.0044313,           0.0044313
                  47,            0.030987,            0.013347,          0.00034371,             0.82886,              0.8594,             0.91003,             0.44605,            0.024781,            0.011477,          4.5775e-05,           0.0043075,           0.0043075,           0.0043075
                  48,            0.030293,            0.013158,           0.0003341,             0.82961,             0.86327,             0.91422,             0.44804,            0.024753,            0.011456,          4.0961e-05,           0.0041837,           0.0041837,           0.0041837
                  49,            0.030384,            0.013172,          0.00033561,             0.83029,             0.86174,             0.91536,             0.44691,            0.024651,            0.011493,          3.8695e-05,             0.00406,             0.00406,             0.00406
                  50,             0.03086,            0.013277,          0.00034133,             0.82352,             0.86852,             0.91252,             0.44902,            0.024525,            0.011464,           3.796e-05,           0.0039362,           0.0039362,           0.0039362
                  51,            0.030474,            0.013038,          0.00033087,             0.83024,             0.86117,             0.91155,             0.44614,            0.024505,            0.011527,          4.0449e-05,           0.0038125,           0.0038125,           0.0038125
                  52,            0.029923,            0.012942,          0.00032629,             0.83134,             0.86124,              0.9131,             0.45146,            0.024405,            0.011475,          3.8111e-05,           0.0036888,           0.0036888,           0.0036888
                  53,            0.029175,            0.012882,          0.00031688,             0.83489,             0.87502,             0.92074,             0.45596,            0.024182,            0.011315,          4.1356e-05,            0.003565,            0.003565,            0.003565
                  54,            0.029234,              0.0132,          0.00030242,             0.83424,              0.8635,             0.91569,             0.44982,            0.024455,            0.011494,          3.7388e-05,           0.0034413,           0.0034413,           0.0034413
                  55,             0.02877,             0.01288,          0.00026022,             0.82903,             0.86938,             0.91682,             0.45364,            0.024346,            0.011311,          3.8578e-05,           0.0033175,           0.0033175,           0.0033175
                  56,            0.029245,             0.01292,          0.00031472,             0.83112,             0.86859,             0.91678,             0.45368,            0.024321,            0.011324,          3.8697e-05,           0.0031938,           0.0031938,           0.0031938
                  57,            0.028544,            0.012775,          0.00027894,             0.84315,             0.86219,             0.92062,             0.45719,            0.024186,            0.011254,          3.3939e-05,             0.00307,             0.00307,             0.00307
                  58,            0.028689,            0.012752,          0.00029073,             0.83115,             0.87263,             0.91962,             0.45557,            0.024312,            0.011308,          3.6238e-05,           0.0029462,           0.0029462,           0.0029462
                  59,             0.02928,            0.012867,          0.00032887,             0.83964,             0.86712,             0.91996,             0.45541,            0.024198,            0.011299,          3.5584e-05,           0.0028225,           0.0028225,           0.0028225
                  60,            0.029049,             0.01263,          0.00029664,             0.83991,             0.86961,             0.92025,             0.45738,            0.024105,            0.011233,           3.317e-05,           0.0026987,           0.0026987,           0.0026987
                  61,            0.029908,            0.012944,          0.00031153,              0.8383,             0.87205,             0.92106,              0.4577,            0.024079,            0.011252,          3.4437e-05,            0.002575,            0.002575,            0.002575
                  62,            0.029327,             0.01284,          0.00028852,             0.84214,             0.86875,              0.9202,             0.45867,            0.023952,            0.011282,          2.9751e-05,           0.0024513,           0.0024513,           0.0024513
                  63,            0.028065,             0.01255,          0.00027618,             0.83537,             0.87851,             0.92254,             0.46283,            0.023909,            0.011153,          2.9067e-05,           0.0023275,           0.0023275,           0.0023275
                  64,            0.027583,            0.012449,          0.00023671,             0.84142,             0.87835,             0.92494,              0.4638,            0.023832,            0.011125,          2.7833e-05,           0.0022038,           0.0022038,           0.0022038
                  65,            0.027625,            0.012699,          0.00023753,             0.84379,             0.87499,             0.92523,             0.46294,            0.023961,            0.011185,          2.5208e-05,             0.00208,             0.00208,             0.00208
                  66,            0.027041,            0.012417,          0.00021693,             0.84576,             0.87085,             0.92413,              0.4625,            0.023951,            0.011128,          2.9872e-05,           0.0019563,           0.0019563,           0.0019563
                  67,            0.027348,            0.012466,          0.00025448,              0.8429,              0.8727,             0.92316,             0.46419,            0.023836,            0.011145,          2.7111e-05,           0.0018325,           0.0018325,           0.0018325
                  68,            0.027281,              0.0123,          0.00023083,             0.84356,             0.87819,             0.92648,             0.46566,            0.023829,             0.01111,          2.5842e-05,           0.0017087,           0.0017087,           0.0017087
                  69,            0.027281,            0.012298,          0.00023929,             0.84529,             0.87473,             0.92492,             0.46488,            0.023836,            0.011144,          2.6703e-05,            0.001585,            0.001585,            0.001585
